SECURITY_IDENTIFIER,EVENTS,TOTAL_ORDERS,MARKET_ORDERS,LIMIT_ORDERS
10730244,9,2,0,2
18775413,52,16,2,14
10730245,18,4,0,4
18775415,9,4,1,3
10730240,1,1,0,1
15070903,22,6,0,6
18775419,95,28,0,28
15070901,19,6,0,6
5763033,41,19,3,16
8343034,12,12,0,12
5763031,108,48,8,40
5763030,18,18,8,10
20150705,2,2,0,2
20150702,1,1,0,1
3000204,10120,4048,0,4048
3000206,2,1,0,1
3000205,11,4,0,4
3000207,11469,5310,0,5310
3000209,504,168,0,168
201701007,160,60,12,48
201701002,94,35,0,35
201701001,38,10,0,10
201701003,67,24,0,24
13000117,94,32,0,32
9099004,5,2,0,2
201701028,45,18,0,18
201701027,45,18,0,18
201701029,45,18,0,18
201701024,45,18,0,18
201701023,45,18,0,18
201701026,45,18,0,18
201701025,45,18,0,18
201701022,45,18,0,18
201701021,45,18,0,18
20170731,2,1,0,1
57753680,1,0,0,0
20170730,2,1,0,1
20170733,2,1,0,1
20170732,2,1,0,1
20170734,10,4,0,4
57753681,4,0,0,0
57753676,13,4,0,4
7744556,29,6,0,6
201701012,17,7,0,7
57753677,13,4,0,4
201701011,261,99,12,87
201701010,160,60,12,48
7744558,29,6,0,6
87777003,16,6,3,3
20170720,1,1,0,1
87777002,15,6,1,5
87777001,2,2,0,2
20170722,1,1,0,1
20170721,2,1,0,1
20170724,2,1,0,1
20170723,2,1,0,1
20170726,1,1,0,1
57753670,13,4,0,4
87777004,24,10,3,7
20170725,1,1,0,1
57753671,14,4,0,4
20170728,1,1,0,1
20170727,1,1,0,1
5339073,2,1,0,1
5339074,2,2,0,2
20170729,2,1,0,1
57753669,13,4,0,4
57753668,13,4,0,4
8313001,3,2,0,2
5339072,18,6,0,6
5339070,11,4,0,4
7744130,2,2,0,2
20170711,5,2,0,2
20170710,5,2,0,2
57753661,3,2,0,2
20170713,5,2,0,2
20170712,5,2,0,2
20170715,5,2,0,2
4250100,60,24,0,24
57753660,18,6,0,6
201701035,45,18,0,18
20170717,2,1,0,1
201701034,45,18,0,18
57753655,1,1,1,0
20170716,5,2,0,2
57753652,16,6,0,6
20170719,2,1,0,1
201701036,45,18,0,18
57753653,4,2,1,1
20170718,1,1,0,1
201701031,45,18,0,18
201701030,45,18,0,18
201701033,45,18,0,18
201701032,45,18,0,18
500500,15,6,0,6
20170702,10,4,0,4
20170701,10,4,0,4
20170703,10,4,0,4
57753643,10,3,0,3
20170706,5,2,0,2
57753644,14,4,0,4
20170705,5,2,0,2
9077004,1,1,0,1
57753641,10,3,0,3
57753642,9,3,0,3
20170707,5,2,0,2
20170709,5,2,0,2
8313027,231,119,0,119
57753645,8,5,0,5
8313028,177,94,0,94
7744100,6,2,0,2
57753640,9,3,0,3
57753633,2,1,0,1
57753630,6,2,0,2
7744112,29,6,0,6
13000100,36,12,0,12
13000103,15,6,0,6
13000104,21,6,0,6
13000101,36,12,0,12
13000102,36,12,0,12
5000192,1,1,0,1
5000191,2,2,0,2
20170920,1,1,0,1
57753622,20,6,0,6
57753620,11,4,0,4
8011003,163,68,2,66
57753626,24,7,0,7
8011001,111,37,0,37
20141111,3,2,0,2
8011000,1,0,0,0
57753624,18,6,0,6
5000198,3,3,0,3
5000197,1,1,0,1
8313045,56,24,0,24
5000199,1,1,0,1
8313046,60,25,0,25
57753628,6,3,0,3
5000194,3,3,0,3
8313043,60,25,0,25
5000193,2,2,0,2
5000196,5,4,0,4
5000195,3,3,0,3
8313042,56,24,0,24
20170911,1,1,0,1
20170910,1,1,0,1
20170915,1,1,0,1
20170917,2,2,0,2
20141104,179,88,0,88
20170916,2,2,0,2
20141103,179,88,0,88
20170919,1,1,0,1
20170918,3,3,0,3
20141101,681,355,0,355
57753618,15,5,0,5
57753616,11,4,0,4
